 
SKU,product_name,quantity,EPC_range,barcode,weight,price
PRD_F_01,Munchee Chocolate Marie (150g),100,E280116060000000000000001-E280116060000000000000100,4790015610019,150,280
PRD_F_02,Elephant House Vanilla Ice Cream (1L),80,E280116060000000000000101-E280116060000000000000180,4792020100016,1000,650
PRD_F_03,Highland Full Cream Milk (1L),120,E280116060000000000000181-E280116060000000000000300,4792099010016,1000,380
PRD_F_04,Keells Chicken Sausages (340g),60,E280116060000000000000301-E280116060000000000000360,4792172000125,340,560
PRD_F_05,Laojee Tea (400g),75,E280116060000000000000361-E280116060000000000000435,4796005660014,400,525
PRD_F_06,Prima Kottu Mee (80g),150,E280116060000000000000436-E280116060000000000000585,4792018180288,80,90
PRD_F_07,Maliban Chocolate Cream Biscuits (100g),100,E280116060000000000000586-E280116060000000000000685,4791025111016,100,170
PRD_F_08,Ambewela Cheese (250g),40,E280116060000000000000686-E280116060000000000000725,4792172001412,250,850
PRD_F_09,MD Canned Fish (425g),90,E280116060000000000000726-E280116060000000000000815,4792098010013,425,650
PRD_F_10,Astra Margarine (250g),60,E280116060000000000000816-E280116060000000000000875,4796005651012,250,420
PRD_F_11,Elephant House Tomato Sauce (400g),70,E280116060000000000000876-E280116060000000000000945,4792020170538,400,315
PRD_F_12,Prima Noodles (345g),120,E280116060000000000000946-E280116060000000000001065,4792018100019,345,380
PRD_F_13,Maliban Lemon Puff (200g),100,E280116060000000000001066-E280116060000000000001165,4791025110019,200,300
PRD_F_14,Nestomalt (400g),80,E280116060000000000001166-E280116060000000000001245,4792024011348,400,540
PRD_F_15,Anchor Full Cream Milk Powder (400g),70,E280116060000000000001246-E280116060000000000001315,4792099020015,400,900
PRD_B_01,Samaposha (200g),90,E280116060000000000001316-E280116060000000000001405,4796001410129,200,190
PRD_B_02,Raigam Soya Meat (110g),120,E280116060000000000001406-E280116060000000000001525,4792172002020,110,130
PRD_B_03,Kotmale Yoghurt (80g),100,E280116060000000000001526-E280116060000000000001625,4792172003737,80,70
PRD_B_04,Sunlight Soap (110g),150,E280116060000000000001626-E280116060000000000001775,4792081000131,110,95
PRD_B_05,Signal Toothpaste (120g),80,E280116060000000000001776-E280116060000000000001855,4792081001152,120,320
PRD_A_01,Prima Wheat Flour (1kg),100,E280116060000000000001856-E280116060000000000001955,4792018110010,1000,275
PRD_A_02,Harischandra Chillie Powder (100g),70,E280116060000000000001956-E280116060000000000002025,4796005520011,100,180
PRD_A_03,Fortune White Basmati Rice (5kg),50,E280116060000000000002026-E280116060000000000002075,4792172004512,5000,2300
PRD_A_04,Ceylon Tea (100g),100,E280116060000000000002076-E280116060000000000002175,4796005660021,100,320
PRD_A_05,Dilmah Tea (100g),80,E280116060000000000002176-E280116060000000000002255,4791021000014,100,450
PRD_S_01,Milo (400g),60,E280116060000000000002256-E280116060000000000002315,4792024012017,400,850
PRD_S_02,Kist Jam (330g),70,E280116060000000000002316-E280116060000000000002385,4792020170163,330,375
PRD_S_03,Elephant House Cream Soda (1.5L),90,E280116060000000000002386-E280116060000000000002475,4792020170712,1500,220
PRD_S_04,Lion Beer (330ml),100,E280116060000000000002476-E280116060000000000002575,4796005650015,330,320
PRD_S_05,Coca-Cola (1.5L),120,E280116060000000000002576-E280116060000000000002695,4792020171429,1500,270
PRD_V_01,Panadol (24 tablets),150,E280116060000000000002696-E280116060000000000002845,4792172005014,24,95
PRD_V_02,Siddhalepa Balm (10g),100,E280116060000000000002846-E280116060000000000002945,4796005652016,10,120
PRD_V_03,Link Samahan (4g sachet),200,E280116060000000000002946-E280116060000000000003145,4796005653013,4,35
PRD_V_04,Iodex Pain Relief Balm (25g),80,E280116060000000000003146-E280116060000000000003225,4792081002012,25,180
PRD_V_05,Pears Baby Soap (100g),90,E280116060000000000003226-E280116060000000000003315,4792081003019,100,160
PRD_H_01,CIC Rice (5kg),60,E280116060000000000003316-E280116060000000000003375,4796001411010,5000,1200
PRD_H_02,Wijaya Curry Powder (100g),100,E280116060000000000003376-E280116060000000000003475,4796005521018,100,160
PRD_H_03,Rathna Thilpiate (100g),80,E280116060000000000003476-E280116060000000000003555,4796005522015,100,175
PRD_H_04,Motha Jelly Crystal (100g),120,E280116060000000000003556-E280116060000000000003675,4792020170019,100,70
PRD_H_05,Ran Kahata Tea (200g),90,E280116060000000000003676-E280116060000000000003765,4796005660038,200,380
PRD_C_01,CBL Munchee Lemon Puff (200g),100,E280116060000000000003766-E280116060000000000003865,4790015610026,200,320
PRD_C_02,Maggi Chicken Noodles (73g),150,E280116060000000000003866-E280116060000000000004015,4792024013014,73,120
PRD_C_03,Maliban Gold Marie (75g),120,E280116060000000000004016-E280116060000000000004135,4791025112013,75,90
PRD_C_04,Tipi Tip Potato Chips (60g),100,E280116060000000000004136-E280116060000000000004235,4792172006011,60,170
PRD_C_05,Lanka Soy Meat Curry (90g),80,E280116060000000000004236-E280116060000000000004315,4796001412018,90,150
PRD_T_01,Highland UHT Milk (1L),70,E280116060000000000004316-E280116060000000000004385,4792099010023,1000,360
PRD_T_02,Kandos Chocolate (100g),100,E280116060000000000004386-E280116060000000000004485,4796005654010,100,420
PRD_T_03,Perera & Sons Fish Bun (75g),150,E280116060000000000004486-E280116060000000000004635,4792172007018,75,120
PRD_T_04,Edinborough Vanilla Ice Cream (1L),60,E280116060000000000004636-E280116060000000000004695,4792020100023,1000,580
PRD_T_05,Keells Chicken Nuggets (400g),50,E280116060000000000004696-E280116060000000000004745,4792172000132,400,850
